,f(x),delta,Numoffunceval,Running time(ms),d_rel
0,funcOne,0.3,120,0.4794100920359294,0.0003944915828248073
1,funcOne,1.0,120,0.458681583404541,0.000489162492160268
2,funcOne,2.0,120,0.4669586817423503,0.00038873927800284327
3,funcTwo,0.3,120,0.5329211552937826,0.0011654958553507094
4,funcTwo,1.0,120,0.5057493845621744,0.001043043817235051
5,funcTwo,2.0,120,0.5183915297190348,0.0010898816719007143
